url	download_complete
ganglia.ics.uci.edu?c=titan&h=oceanus.ics.uci.edu&m=load_one&r=hour&s=by%20name&hc=4&mc=2	complete
mailman.ics.uci.edu/mailman/listinfo/icsb-mjolsness-tutorial	complete
vision.ics.uci.edu/people/12.html	complete
ngs.ics.uci.edu/tag/cyber	complete
www.ics.uci.edu/policies/index.php	complete
www.ics.uci.edu/prospective/zh-tw/degrees/computer-science	complete
www.ics.uci.edu/genealogy	complete
sli.ics.uci.edu/PmWiki/UploadVariables?action=login	complete
ganglia.ics.uci.edu?p=2&c=virthost&h=sylvester-mccoy.ics.uci.edu	complete
www.ics.uci.edu/community/news/spotlight_ambassadors2k8.php	complete
ganglia.ics.uci.edu	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_031.jpg	incomplete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=L09a.pdf	complete
ganglia.ics.uci.edu?p=2&c=asterix&h=asterix-9.ics.uci.edu	complete
www.ics.uci.edu/rickl-publications.html	incomplete
ganglia.ics.uci.edu?c=pedigree&h=pedigree-16.ics.uci.edu&p=2	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_019.jpg	complete
sli.ics.uci.edu/Projects/Sensor	complete
www.ics.uci.edu/~redmiles/inf143-SQ09/links.html	complete
www.ics.uci.edu/teachingics.html	complete
www.ics.uci.edu/employ_faculty.php	complete
www.ics.uci.edu/grad/profiles/index.php?student=harmon	incomplete
www.ics.uci.edu/prospective/en/degrees/software-engineering	complete
www.ics.uci.edu/intranet	complete
sli.ics.uci.edu/Grants-2008NSF/HomePage	complete
www.ics.uci.edu/community/news/spotlight/spotlight_russell.php	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=PmWiki%2FFilePermissions&action=login	complete
www.ics.uci.edu/research/publications.html	incomplete
www.ics.uci.edu/~bermanb	complete
www.ics.uci.edu/faculty/index.php?department=Statistics	complete
www.ics.uci.edu/community/news/spotlight_broadcom_top_trends_in_tech.php	complete
www.ics.uci.edu/~thornton/inf102	complete
www.ics.uci.edu/~lopes/inf212W14/readings/24_wadler	complete
vision.ics.uci.edu/people/28.html	complete
ngs.ics.uci.edu/tag/summarization	complete
mailman.ics.uci.edu/mailman/options/phd.softeng	complete
www.ics.uci.edu/~fielding/pubs/dissertation/references.htm	complete
www.ics.uci.edu/~redmiles/ics131-FQ03/announcements_files/filelist.xml	complete
ganglia.ics.uci.edu?c=cacofonix&h=cacofonix-2.ics.uci.edu&p=2	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=Data-HW4.zip	complete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Emma_Anderson.php	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_053.jpg.jpg	complete
sli.ics.uci.edu/Classes/2016W-178?action=download&upname=09_dtree_notes.pdf	complete
www.ics.uci.edu/funding/index.php	complete
emj.ics.uci.edu/teaching/feed	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=ranking.zip	complete
www.ics.uci.edu/~willmlam	incomplete
ganglia.ics.uci.edu?c=zen&m=load_one&r=hour&s=by%20name&hc=4&mc=2	incomplete
ngs.ics.uci.edu/photo-album-2015-breaking-the-boundaries	complete
www.ics.uci.edu/statistics/faculty	complete
www.ics.uci.edu/~lab/students	complete
sli.ics.uci.edu/PmWiki/WikiWord	complete
www.ics.uci.edu/community/events/extreme/mentor/index.php	complete
ganglia.ics.uci.edu/search	complete
www.ics.uci.edu/~ziv/ooad/intro_to_se/tsld015.htm	complete
www.ics.uci.edu/labs_specs/index.php	incomplete
ganglia.ics.uci.edu?c=sensorium&h=sensorium-15.ics.uci.edu&p=2	complete
www.ics.uci.edu/~yyang8	complete
vision.ics.uci.edu/papers/FowlkesMM_CVPR_2003	complete
www.ics.uci.edu/~redmiles/links.html	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_002.jpg	complete
www.ics.uci.edu/~schark/krish/sigmetrics96.ps.Z	complete
mailman.ics.uci.edu/mailman/admin/ms.informatics	complete
sdcl.ics.uci.edu/research	complete
mailman.ics.uci.edu/mailman/listinfo/hana-soc-reviewers	complete
vision.ics.uci.edu/papers/VondrickR_NIPS_2011	complete
www.ics.uci.edu/~fservant	incomplete
www.ics.uci.edu/~thornton/ics32/ProjectGuide	complete
sli.ics.uci.edu/PmWiki/PasswordsAdmin?action=crypt	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-75.ics.uci.edu	complete
www.ics.uci.edu/computing/ethics_summary.php	complete
www.ics.uci.edu/grad/degrees/index.php	incomplete
ganglia.ics.uci.edu?p=2&c=misc-rsh&h=loquat.ics.uci.edu	complete
www.ics.uci.edu/~redmiles/inf44-SQ07/links_files/filelist.xml	complete
ganglia.ics.uci.edu?p=2&c=misc-rsh&h=hermod.ics.uci.edu	complete
www.ics.uci.edu/faculty/area_network.php	complete
www.ics.uci.edu/prospective/en/uci/student-services	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=centaurus-4.ics.uci.edu	complete
sli.ics.uci.edu/PmWiki/BlockMarkup?action=login	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_023.jpg	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
www.ics.uci.edu/community/news/spotlight_bortis.php	complete
sdcl.ics.uci.edu/opportunities	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
www.ics.uci.edu/community/news/spotlight_diazgutierrez.php	complete
www.ics.uci.edu/pub/arch/argo.html	complete
www.ics.uci.edu/DebraJRichardson/Home.html	incomplete
www.ics.uci.edu/ugrad/current/QA_Graduation.php	complete
www.ics.uci.edu/Arcadia/system_pages/amadeus.html	complete
www.ics.uci.edu/%7Ewscacchi/Presentations/OSS-Requirements?C=N;O=D	complete
www.ics.uci.edu/ugrad/sao/index.php	complete
www.ics.uci.edu/right.htm	complete
cml.ics.uci.edu/books	complete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
www.ics.uci.edu/~redmiles/inf143-SQ09/Assignment1?C=M;O=A	complete
archive.ics.uci.edu/ml/machine-learning-databases/event-detection	complete
vision.ics.uci.edu/people/29.html	complete
swiki.ics.uci.edu/lib/exe/opensearch.php	complete
ganglia.ics.uci.edu?c=asterix&h=asterix-8.ics.uci.edu&p=2	complete
sli.ics.uci.edu/Projects/DataMining	complete
www.ics.uci.edu/community/alumni/index.php/hall_of_fame/stayconnected/hall_of_fame	complete
www.ics.uci.edu/address.html	incomplete
ganglia.ics.uci.edu?p=2&c=asterix&h=rainbow-yellow.ics.uci.edu	complete
www.ics.uci.edu/%7elab/labs_specs/hardware.php	complete
archive.ics.uci.edu/ml/machine-learning-databases/event-detection?C=D;O=D	complete
ngs.ics.uci.edu/category/technical-thoughts	incomplete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_062.jpg	complete
www.ics.uci.edu/~franz	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_010.jpg	complete
www.ics.uci.edu/index_files/colorschememapping.xml	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-28.ics.uci.edu	complete
www.ics.uci.edu/about/search_graduate.php	incomplete
ganglia.ics.uci.edu/breakdown_reports.php	complete
www.ics.uci.edu/~ziv/ooad/classes/index.htm	complete
ganglia.ics.uci.edu?p=2&c=sensorium&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524859314	complete
www.ics.uci.edu/computerscience/news/news_2007.php	complete
sli.ics.uci.edu/Classes/2008CSE	complete
ganglia.ics.uci.edu?c=andromeda&h=centaurus-9.ics.uci.edu&p=2	complete
www.ics.uci.edu/~qliu1/publication.html	complete
www.ics.uci.edu/~dsm/dyn/changelog.txt	complete
mailman.ics.uci.edu/mailman/listinfo/docking	complete
sli.ics.uci.edu/Ihler/SideBar?action=edit	complete
cml.ics.uci.edu/2018/01/winter-2018	complete
mcs.ics.uci.edu/current-students/resources/policies	complete
www.ics.uci.edu/prospective/en/admissions/freshmen	complete
cml.ics.uci.edu/2016/01/winter-2016	complete
mailman.ics.uci.edu/mailman/admin/crick	complete
ganglia.ics.uci.edu?p=1&c=titan&h=rhea.ics.uci.edu	incomplete
vision.ics.uci.edu/papers/YarkonyF_NIPS_2015	complete
www.ics.uci.edu/~dgillen	complete
sli.ics.uci.edu/Site/SideBar	complete
www.ics.uci.edu/~fowlkes/software?C=M;O=A	complete
sli.ics.uci.edu/PmWiki/ChangeLog	complete
graphmod.ics.uci.edu/books	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_064.jpg.jpg	complete
www.ics.uci.edu/dir/grad/Software/jshaw	complete
www.ics.uci.edu/computing/ethics.php	complete
www.ics.uci.edu/lab_assistants/index.php	complete
computableplant.ics.uci.edu/sw/clsmtools	complete
cml.ics.uci.edu/xmlrpc.php	incomplete
mailman.ics.uci.edu/mailman/admin/46-tutors	complete
sli.ics.uci.edu/PmWiki/Installation?action=login	incomplete
ganglia.ics.uci.edu?p=2&c=syn2&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524859312	complete
www.ics.uci.edu/research/tiers.html	complete
www.ics.uci.edu/prospective/ko/uci/student-services	incomplete
ganglia.ics.uci.edu?p=1&c=titan&h=hyperion.ics.uci.edu	complete
www.ics.uci.edu/../grad/index.php	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-54.ics.uci.edu	complete
www.ics.uci.edu/~kay/courses/i41/answers.html	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_029.jpg	complete
ganglia.ics.uci.edu?p=2&c=zion&h=zion-5.ics.uci.edu	complete
www.ics.uci.edu/~dsm/people.html	complete
www.ics.uci.edu/~guoqingx/courses/295/fall13	complete
ganglia.ics.uci.edu?p=2&c=zion&h=zion-6.ics.uci.edu	complete
vision.ics.uci.edu/HANDS-2015	incomplete
www.ics.uci.edu/community/alumni/mentor_signup.php	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensorium-20.ics.uci.edu	complete
ganglia.ics.uci.edu?m=load_one&r=hour&s=by%20name&hc=4&mc=2	complete
computableplant.ics.uci.edu/links.html	complete
www.ics.uci.edu/grad/listing.php	complete
mailman.ics.uci.edu/mailman/admin/statsgradpolicycommittee	complete
mhcid.ics.uci.edu/admissions/admissions-overview/applicant-portfolio	complete
computableplant.ics.uci.edu/publications.html	complete
www.ics.uci.edu/~kay/courses/31/hw/index.html	complete
mailman.ics.uci.edu/mailman/listinfo/hana-soc	complete
sdcl.ics.uci.edu/research/crowd-development	complete
www.ics.uci.edu/~skong2	complete
computableplant.ics.uci.edu/%7Eguy/downloads/DGPublications.html	incomplete
mailman.ics.uci.edu/mailman/subscribe/ms.softeng	complete
www.ics.uci.edu/community	complete
mailman.ics.uci.edu/mailman/private/hana-culture	complete
www.ics.uci.edu/ugrad/current/policies/Laptop_ComputerUse.php	complete
sli.ics.uci.edu/PmWiki/WikiStyles	complete
www.ics.uci.edu/dir/grad/Software/ddubrow	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=cs178-f10soln.pdf	incomplete
swiki.ics.uci.edu/feed.php?mode=list&ns=services	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_026.jpg	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=HW1soln.pdf	complete
mailman.ics.uci.edu/mailman/listinfo/hanalab-admins	incomplete
www.ics.uci.edu/~thornton/ics32/PythonBasics	complete
mailman.ics.uci.edu/mailman/private/visionturk	complete
www.ics.uci.edu/../about/annualreport/index.php	complete
www.ics.uci.edu/community/news/student_blogs/index.php	complete
sdcl.ics.uci.edu/research/feed	complete
www.ics.uci.edu/~thornton/LabManual/Assignment3	complete
www.ics.uci.edu/~softtest/adamakegen.html	complete
www.ics.uci.edu/~thornton/LabManual/Assignment5	complete
www.ics.uci.edu/~thornton/LabManual/Assignment4	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_033.jpg.jpg	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_032.jpg.jpg	complete
mailman.ics.uci.edu/mailman/private/ms.softeng	complete
www.ics.uci.edu/~shallman	complete
ganglia.ics.uci.edu?c=asterix&h=asterix-2.ics.uci.edu&p=2	complete
mailman.ics.uci.edu/mailman/private/ivecg-community	complete
www.ics.uci.edu/~perl	complete
ganglia.ics.uci.edu?p=2&c=pedigree&h=pedigree-15.ics.uci.edu	complete
sli.ics.uci.edu/PmWiki/Categories	complete
www.ics.uci.edu/community/news/spotlight_datspace.php	incomplete
www.ics.uci.edu/~ccsp	complete
www.ics.uci.edu/~jianfeih	complete
mailman.ics.uci.edu/mailman/private/icsb-mjolsness-tutorial	complete
mailman.ics.uci.edu/mailman/options/quasar-l	complete
swiki.ics.uci.edu/doku.php/services:webmail?do=login&sectok=	complete
sli.ics.uci.edu/PmWiki/Forms	complete
ngs.ics.uci.edu/tag/visualization	complete
www.ics.uci.edu/~mirzaeib	complete
sli.ics.uci.edu/Projects/Event	complete
www.ics.uci.edu/community/alumni/mentor/mentee_login.php	incomplete
mcs.ics.uci.edu/about/course-descriptions	complete
sli.ics.uci.edu/Classes/2012W-178	complete
sli.ics.uci.edu/Classes/2008CSE?action=download&upname=heliworld.jpg	complete
sli.ics.uci.edu/PmWiki/SpecialCharacters	complete
www.ics.uci.edu/~redmiles/ics125-FQ01	complete
www.ics.uci.edu/community/news/spotlight_nalini_smartamerica.php	incomplete
www.ics.uci.edu/ugrad/sao/Course_updates.php	complete
www.ics.uci.edu/~qliu1/IMGLINKTARGET	complete
www.ics.uci.edu/~jsupanci	complete
www.ics.uci.edu/prospective/ko/degrees/data-science	complete
mailman.ics.uci.edu/mailman/listinfo/cwp-study	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_062.jpg.jpg	complete
www.ics.uci.edu/community/news/spotlight_gibas.php	complete
www.ics.uci.edu/~kay/python/ICStunes0.py	complete
cml.ics.uci.edu/xmlrpc.php?rsd	complete
www.ics.uci.edu/grad/admissions	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensoria-1.ics.uci.edu	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensorium-12.ics.uci.edu	complete
www.ics.uci.edu/~kay/courses/i42/wildride/data/rides2.txt	complete
www.ics.uci.edu/faculty.html	complete
www.ics.uci.edu/~kay/labtutors	complete
www.ics.uci.edu/~thornton/ILOCExamples.html	complete
www.ics.uci.edu/about/visit	complete
ngs.ics.uci.edu/extreme-stories-12	complete
ngs.ics.uci.edu/extreme-stories-11	complete
ngs.ics.uci.edu/extreme-stories-10	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/364a_files/sheet002.html	incomplete
swiki.ics.uci.edu/doku.php/announce:announce?do=index	incomplete
www.ics.uci.edu/250B/Spr13	complete
ngs.ics.uci.edu/author/ramesh	complete
www.ics.uci.edu/%7Ewscacchi/Papers/Software_Process_Redesign?C=S;O=D	complete
emj.ics.uci.edu/wp-includes/wlwmanifest.xml	complete
www.ics.uci.edu/ugrad/policies/Readmission_DQ.php	complete
ngs.ics.uci.edu/tag/causality	incomplete
ganglia.ics.uci.edu?p=2&c=datalab&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524966786	complete
sli.ics.uci.edu/Classes/2010W-178	complete
www.ics.uci.edu/community/news/spotlight_hertz.php	complete
www.ics.uci.edu/ugrad/current/policies/Computer_Acct_Backup.php	complete
www.ics.uci.edu/alumni/hall_of_fame/stayconnected/hall_of_fame	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-43.ics.uci.edu	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensorium-11.ics.uci.edu	complete
vision.ics.uci.edu/papers/RamananB_PAMI_2011	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_055.jpg.jpg	complete
www.ics.uci.edu/~tlatoza	complete
ganglia.ics.uci.edu?p=2&c=pedigree&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524966793	complete
vision.ics.uci.edu/papers/KongF_TR_2014	complete
www.ics.uci.edu/sao/Course_updates.php	complete
www.ics.uci.edu/community/news/spotlight_welcome_week_2013.php	complete
mailman.ics.uci.edu/mailman/roster/blahblah	complete
mailman.ics.uci.edu/mailman/subscribe/igb-community	complete
www.ics.uci.edu/grad/qa	complete
www.ics.uci.edu/~ziv/diss/intropaper/intropaper.html	complete
www.ics.uci.edu/~kay/courses/i41/f06.html	complete
www.ics.uci.edu/~ziv/ooad/intro_to_se/sld004.htm	complete
www.ics.uci.edu/~yamingy/npmle.r	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-3.ics.uci.edu	incomplete
mailman.ics.uci.edu/mailman/listinfo/motifmap	complete
mailman.ics.uci.edu/mailman/listinfo/nsf-career	complete
www.ics.uci.edu/community/news/spotlight_butterworth_beall_2014_winners.php	complete
www.ics.uci.edu/ugrad/QA_Graduation	complete
mailman.ics.uci.edu/mailman/admin/ivecg-faculty	complete
mailman.ics.uci.edu/mailman/options/insa-news	complete
www.ics.uci.edu/~yamingy/npmle.c	complete
ganglia.ics.uci.edu?p=2&c=igb-nebula&h=nebula-4.ics.uci.edu	complete
sli.ics.uci.edu/Classes/2016W-178?action=download&upname=HW4s.pdf	complete
www.ics.uci.edu/~theory/269	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_022.jpg.jpg	complete
sli.ics.uci.edu/Pubs/PubsDB	complete
ganglia.ics.uci.edu?c=zion&h=zion-6.ics.uci.edu&p=2	complete
cml.ics.uci.edu/feed	complete
www.ics.uci.edu/~thornton/Notes/Functions	complete
sli.ics.uci.edu/Ihler-Private/People	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-48.ics.uci.edu	complete
ganglia.ics.uci.edu?p=2&c=archer&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524859313	incomplete
www.ics.uci.edu/alumni/hall_of_fame/stayconnected/hall_of_fame/inductees.php	complete
sli.ics.uci.edu/PmWiki/Uploads	complete
sli.ics.uci.edu/video/cs178/Lecture02.html	complete
www.ics.uci.edu/~ziv/ooad/classes/sld013.htm	complete
vision.ics.uci.edu/papers/SupancicRYSR_ICCV_2015	complete
vision.ics.uci.edu/papers/Ramanan_CVPR_2007	complete
ganglia.ics.uci.edu?c=andromeda&h=andromeda-70.ics.uci.edu&p=2	complete
sli.ics.uci.edu/Classes/2013-iCamp?action=login	complete
ganglia.ics.uci.edu?c=andromeda&h=centaurus-1.ics.uci.edu&p=2	complete
www.ics.uci.edu/computing/web/faqs.php	complete
www.ics.uci.edu/brenhall/index.php	complete
ngs.ics.uci.edu/tag/mobile	complete
www.ics.uci.edu/community/events/extreme/extreme_forms.php	complete
sli.ics.uci.edu/PmWiki/WikiGroups	complete
www.ics.uci.edu/%7Ewscacchi/Presentations/Understanding-OSSD-Requirements-Abstract.html	complete
ganglia.ics.uci.edu?p=2&c=pedigree&h=pedigree-26.ics.uci.edu	incomplete
www.ics.uci.edu/~wscacchi/vita.html	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=178_L01.pdf	complete
sli.ics.uci.edu/Classes/2013S-77B?action=download&upname=jesterOut.m	complete
ganglia.ics.uci.edu?c=pedigree&h=pedigree-10.ics.uci.edu&p=2	complete
sli.ics.uci.edu/extras/components/bootstrap/fonts/glyphicons-halflings-regular.woff	complete
www.ics.uci.edu/grad/degree_cs.php	complete
ngs.ics.uci.edu/teaching/current-courses	complete
www.ics.uci.edu/~stasio/fall04/ics268.html	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=178_L11.pdf	complete
computableplant.ics.uci.edu/sw/CambiumPlenum	complete
computableplant.ics.uci.edu/sw/clsmtools?C=N;O=A	complete
www.ics.uci.edu/~ziv/ooad/intro_to_se/tsld026.htm	incomplete
sli.ics.uci.edu/Site/HtPasswd	complete
www.ics.uci.edu/~kay/courses/31/final.html	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensorium-37.ics.uci.edu	incomplete
www.ics.uci.edu/research/net neutrality.html	complete
www.ics.uci.edu/news/index.php	complete
mailman.ics.uci.edu/mailman/roster/informatics-phd	complete
ngs.ics.uci.edu/extreme-stories-10/feed	complete
grape.ics.uci.edu/wiki/asterix/login	complete
ganglia.ics.uci.edu?p=2&c=virthost&h=matt-smith.ics.uci.edu	complete
www.ics.uci.edu/~jutts/GAISE/GAISE.pps	complete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=R03.pdf	complete
www.ics.uci.edu/z-old	complete
www.ics.uci.edu/~majumder	complete
www.ics.uci.edu/community/news/spotlight_career_fair.php	incomplete
sdcl.ics.uci.edu/research/past-projects/lighthouse	complete
vision.ics.uci.edu/papers/WeberEWP_AFGR_2000	complete
www.ics.uci.edu/prospective/zh-tw/degrees/computer-game-science	complete
www.ics.uci.edu/prospective/zh-tw/admissions/freshmen	complete
computableplant.ics.uci.edu/sw/gccd	incomplete
mailman.ics.uci.edu/mailman/admin/grad.softeng	complete
www.ics.uci.edu/~redmiles/ics131-FQ04/linksandresources.html	complete
ganglia.ics.uci.edu?p=2&c=zion&m=load_one&r=hour&s=by%20name&hc=4&mc=2&st=1524859324	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensorium-28.ics.uci.edu	complete
emj.ics.uci.edu/papers/machine-learning-papers/feed	complete
www.ics.uci.edu/ugrad/sao/Appts_Walk-Ins.php	complete
www.ics.uci.edu/~thornton/ics45c	complete
www.ics.uci.edu/alumni/hall_of_fame/stayconnected/index.php	complete
www.ics.uci.edu/~yamingy/bayesD_cocktail.r	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-42.ics.uci.edu	incomplete
sli.ics.uci.edu/PmWiki/Installation	complete
vision.ics.uci.edu/people/36.html	complete
www.ics.uci.edu/~dsm/publications.html	complete
www.ics.uci.edu/grad/profiles/index.php?student=behm	complete
www.ics.uci.edu/rickl-other.html	incomplete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
ngs.ics.uci.edu/personal/favorite-quotes	complete
www.ics.uci.edu/community/events/openhouse/research08.html	complete
computableplant.ics.uci.edu/papers/2005/CVPR-2005-Abstract.html	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=th00---2009Expo_054.jpg.jpg	complete
www.ics.uci.edu/~kay/courses/i42/problem_description_files/index.html	complete
sli.ics.uci.edu/Classes-CS178-Notes/KNearestNeighbors	complete
mailman.ics.uci.edu/mailman/admin/autism	complete
mailman.ics.uci.edu/mailman/private/hana-google	complete
www.ics.uci.edu/%7Emajumder/pub.html	incomplete
ngs.ics.uci.edu/tag/health/feed	complete
www.ics.uci.edu/courses	incomplete
sli.ics.uci.edu/Classes-2008F/CTMSegmentation	complete
sdcl.ics.uci.edu/contact/feed	complete
www.ics.uci.edu/~lab/software.php	complete
www.ics.uci.edu/about_officers.html	complete
sli.ics.uci.edu/Classes/2011W-178?action=download&upname=HW3.zip	complete
www.ics.uci.edu/ugrad/policies/Computer_Copyrights.php	incomplete
www.ics.uci.edu/~kay/courses/i41/final.html	complete
www.ics.uci.edu/~ziv/ooad/intro_to_se/sld015.htm	complete
ganglia.ics.uci.edu?p=2&c=pedigree&h=pedigree-3.ics.uci.edu	complete
sli.ics.uci.edu/Classes/CSE181?action=download&upname=2009Expo_027.jpg	complete
sli.ics.uci.edu/Classes/2011W-178?action=download&upname=CS178_L01.pdf	complete
www.ics.uci.edu/~lab/proj_ics	complete
www.ics.uci.edu/about/annualreport/2006-07/index.php	complete
www.ics.uci.edu/face/face.key	complete
sli.ics.uci.edu/Ihler-Private/Charges?action=login	complete
www.ics.uci.edu/community/news/spotlight_archer.php	complete
www.ics.uci.edu/~kay/courses/i41	complete
www.ics.uci.edu/~kay/courses/i42	complete
www.ics.uci.edu/shortbio.html	complete
ganglia.ics.uci.edu?p=2&c=sensorium&h=sensorium-6.ics.uci.edu	complete
www.ics.uci.edu/prospective/zh-tw/opportunities/research	complete
www.ics.uci.edu/~kay/courses/i41/hw/hw4.html	complete
sli.ics.uci.edu/Classes/2016W-178?action=download&upname=07_svm_notes.pdf	complete
vision.ics.uci.edu/people/6.html	complete
cocoa-krispies.ics.uci.edu/~paolo/JuliusC	complete
mailman.ics.uci.edu/mailman/subscribe/hana-soc-reviewers	complete
www.ics.uci.edu/computing/announcements-fall-2014.php	incomplete
sli.ics.uci.edu/PmWiki/RecentChanges?action=login	complete
mailman.ics.uci.edu/mailman/listinfo/insa-news	complete
vision.ics.uci.edu/links.html	complete
ganglia.ics.uci.edu?p=2&c=andromeda&h=andromeda-7.ics.uci.edu	complete
ganglia.ics.uci.edu?p=2&c=virthost&h=paul-mcgann.ics.uci.edu	complete
mailman.ics.uci.edu/mailman/listinfo/asterixresearch	complete
www.ics.uci.edu/~lab/acct_activate.php	complete
www.ics.uci.edu/~eppstein	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=iris.txt	complete
www.ics.uci.edu/~thornton/ics32/Notes/sum_numbers1.py	complete
